location,start_date,end_date,description,USA for sure,timestamp
 Austin,2012-01-13,2012-01-16,Mid Atlantic Leather Weekend,True,20120101020727
Aspen,2012-01-15,2012-01-22,Gay and Lesbian Ski Week,True,20110822223024
 Austin,2012-01-15,2012-01-22,Gay and Lesbian Ski Week,True,20120118221731
Fort Lauderdale,2012-01-29,2012-02-05,Atlantis Caribbean Cruise,True,20110822223024
 Austin,2012-01-29,2012-02-05,Atlantis Allure all gay cruise,True,20120118221731
 Austin,2012-02-12,2012-02-19,RSVP Caribbean Cruise,True,20120214203114
 Austin,2012-02-16,2012-02-20,Winter Heat,True,20120214203114
New Orleans,2012-02-17,2012-02-21,Gay Mardi Gras,True,20110822223024
 Austin,2012-02-17,2012-02-21,Gay Mardi Gras,True,20120214203114
Miami,2012-02-29,2012-03-05,Winter Party Miami,True,20110822223024
